templateID,candidateID,Financial profile,Travel profile,Graphlet profile,Temporal profile,templateEdgeOrder,candidateEdgeOrder
0,584811,0.9945675287269031,,0.76190477,0.9037501963427151,3,3
2,477769,0.9913486409881747,,0.0,,17,35
27,572500,0.9941564229965284,,0.7142857499999999,1.0,14,2
29,500192,0.9885868853808615,,0.0,,18,41
31,480268,0.9903520079450967,,0.0,,19,18
33,516694,0.9862459692826032,,0.0,,20,39
34,615605,0.9918249009448268,,0.6428571649999999,0.9869020607331437,4,10
35,480375,0.9941364508029968,,0.0,,21,48
36,476124,0.9869463161136662,,0.0,,22,40
37,638752,0.9929408547274875,,0.6666667,0.9814767166496726,7,8
38,545850,0.9952341135026204,,0.0,,23,33
39,570284,0.9947769512759447,1.0,0.33333335,0.8480977822622541,2,0
40,643925,0.9975394626145218,0.3636363636363637,0.6666667,0.8055055248215629,13,14
41,649553,0.9960620856879977,0.6666666666666666,0.54761907,0.8441950711790113,8,6
42,463126,0.992891082439161,,0.0,,24,25
43,604223,0.9950231095011586,,0.8095238149999999,0.8888602998980359,5,13
44,573206,0.997747606554872,,0.0,,25,26
45,594766,0.9979328462667425,,0.809523835,1.0,6,7
46,561312,0.9928711026233394,,0.0,,26,30
47,546999,0.9965649965450715,,0.8809523850000001,0.8931895376517633,10,9
48,645393,0.9916473403349153,,0.0,,27,21
49,634283,0.9955222994118068,,0.0,,28,32
52,598220,0.9928538978602439,,0.0,,29,37
53,479204,0.9927895552882757,,0.0,,30,42
54,510483,0.9908179641804782,,0.0,,31,22
55,655636,0.996614645514752,,0.0,,32,23
56,636990,0.9929724528437166,,0.33333335,0.917161358524356,9,4
57,581406,0.9939319773392389,,0.50000002,0.9692826096207635,12,11
58,519424,0.9999161678999595,,0.54761906,0.8900240984615397,1,12
59,558277,0.9994640761193214,,0.0,,33,34
60,562598,0.9997894198128603,,0.0,,34,31
61,492937,0.998887861217972,,0.0,,35,17
62,513182,0.9971670854722461,,0.0,,36,29
63,551810,0.9883308938166028,,0.61904764,0.9907383583248364,0,5
64,617074,0.9954561726360103,,0.0,,37,45
65,593266,0.9934277786108126,,0.6904762149999999,0.9399777018616965,11,16
66,570847,,,0.45238095,,15,15
67,595104,,,0.5,0.9773137037153534,16,1
73,568093,,1.0,0.0,0.8693484661501957,38,28
74,464459,,0.3333333333333333,0.0,0.7958233334381805,39,36
75,635665,,0.6,0.0,0.8635674986865267,40,20
77,629627,,1.0,0.0,0.8095161509271944,41,49
78,534034,,0.5714285714285714,0.0,0.818509629722827,42,24
79,599441,,1.0,0.0,0.8654668837217538,43,27
80,585212,,0.6666666666666666,0.0,0.8175668162602487,44,50
82,538892,,1.0,0.0,0.8277235063753082,45,19
83,572391,,0.2,0.0,0.8122374886209661,46,43
84,542965,,0.125,0.0,0.822089673134024,47,46
85,612711,,0.5,0.0,0.9484333615397224,48,44
86,643411,,0.42857142857142855,0.0,0.9024225501274845,49,38
87,598006,,0.5,0.0,0.9484333615397224,50,47
